#########################
Running start QwenCoderTurbo-CoT-APPS-Python3-0.0-1, Time: 2025-11-11 19:40:49.145402
##########################

completed 1/19, Solved: False, number of success = 0/1, acc = 0.0
completed 2/19, Solved: False, number of success = 0/2, acc = 0.0
completed 3/19, Solved: False, number of success = 0/3, acc = 0.0
completed 4/19, Solved: False, number of success = 0/4, acc = 0.0
completed 5/19, Solved: False, number of success = 0/5, acc = 0.0
completed 6/19, Solved: False, number of success = 0/6, acc = 0.0
completed 7/19, Solved: False, number of success = 0/7, acc = 0.0
completed 8/19, Solved: False, number of success = 0/8, acc = 0.0
completed 9/19, Solved: False, number of success = 0/9, acc = 0.0
completed 10/19, Solved: False, number of success = 0/10, acc = 0.0
completed 11/19, Solved: True, number of success = 1/11, acc = 9.09
completed 13/19, Solved: False, number of success = 1/13, acc = 7.69
completed 14/19, Solved: True, number of success = 2/14, acc = 14.29
completed 15/19, Solved: False, number of success = 2/15, acc = 13.33
completed 16/19, Solved: False, number of success = 2/16, acc = 12.5
completed 17/19, Solved: True, number of success = 3/17, acc = 17.65
completed 18/19, Solved: False, number of success = 3/18, acc = 16.67
completed 19/19, Solved: True, number of success = 4/19, acc = 21.05
#########################
Running end QwenCoderTurbo-CoT-APPS-Python3-0.0-1, Time: 2025-11-11 19:43:45.166832
##########################

