#########################
Running start QwenCoderTurbo-CoT-APPS-Python3-0.0-1, Time: 2025-11-11 19:40:49.196859
##########################

completed 1/19, Solved: True, number of success = 1/1, acc = 100.0
completed 2/19, Solved: False, number of success = 1/2, acc = 50.0
completed 3/19, Solved: False, number of success = 1/3, acc = 33.33
completed 4/19, Solved: False, number of success = 1/4, acc = 25.0
completed 5/19, Solved: False, number of success = 1/5, acc = 20.0
completed 6/19, Solved: False, number of success = 1/6, acc = 16.67
completed 7/19, Solved: False, number of success = 1/7, acc = 14.29
completed 8/19, Solved: False, number of success = 1/8, acc = 12.5
completed 9/19, Solved: False, number of success = 1/9, acc = 11.11
completed 12/19, Solved: False, number of success = 1/12, acc = 8.33
completed 14/19, Solved: False, number of success = 1/14, acc = 7.14
completed 15/19, Solved: False, number of success = 1/15, acc = 6.67
completed 17/19, Solved: False, number of success = 1/17, acc = 5.88
completed 18/19, Solved: False, number of success = 1/18, acc = 5.56
completed 19/19, Solved: False, number of success = 1/19, acc = 5.26
#########################
Running end QwenCoderTurbo-CoT-APPS-Python3-0.0-1, Time: 2025-11-11 19:43:47.478148
##########################

