#########################
Running start QwenCoderTurbo-SelfPlanning-APPS-Python3-0.0-1, Time: 2025-11-11 19:53:41.687515
##########################

completed 1/19, Solved: False, number of success = 0/1, acc = 0.0
completed 2/19, Solved: False, number of success = 0/2, acc = 0.0
completed 3/19, Solved: False, number of success = 0/3, acc = 0.0
completed 4/19, Solved: False, number of success = 0/4, acc = 0.0
completed 5/19, Solved: False, number of success = 0/5, acc = 0.0
completed 6/19, Solved: False, number of success = 0/6, acc = 0.0
completed 7/19, Solved: False, number of success = 0/7, acc = 0.0
completed 8/19, Solved: False, number of success = 0/8, acc = 0.0
completed 9/19, Solved: False, number of success = 0/9, acc = 0.0
completed 10/19, Solved: False, number of success = 0/10, acc = 0.0
completed 11/19, Solved: True, number of success = 1/11, acc = 9.09
completed 13/19, Solved: False, number of success = 1/13, acc = 7.69
completed 14/19, Solved: False, number of success = 1/14, acc = 7.14
completed 15/19, Solved: False, number of success = 1/15, acc = 6.67
completed 16/19, Solved: False, number of success = 1/16, acc = 6.25
completed 17/19, Solved: False, number of success = 1/17, acc = 5.88
completed 18/19, Solved: False, number of success = 1/18, acc = 5.56
completed 19/19, Solved: False, number of success = 1/19, acc = 5.26
#########################
Running end QwenCoderTurbo-SelfPlanning-APPS-Python3-0.0-1, Time: 2025-11-11 20:02:19.675524
##########################

